contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last,px_volume
COF7 Comdty,-1.6899999999999975,-1.752748392449697,2026-11-30,324423,94.73,92464.0
COF8 Comdty,0.4200000000000017,0.5336721728081343,2027-11-30,40883,79.12,1231.0
COG7 Comdty,-1.4899899999999917,-1.592210044048938,2026-12-30,162483,92.09,44167.0
COG8 Comdty,0.3600000000000136,0.461124631740763,2027-12-30,34945,78.43,876.0
COH7 Comdty,-1.2399999999999949,-1.3568224094539827,2027-01-29,153709,90.15,32518.0
COH8 Comdty,0.3300100000000014,0.4257644724247822,2028-01-31,27786,77.84,1716.0
COJ7 Comdty,-1.0100000000000051,-1.1284916201117374,2027-02-26,69176,88.49,14924.0
COJ8 Comdty,0.2900099999999952,0.376587505075634,2028-02-29,7249,77.3,519.0
COK7 Comdty,-0.8599999999999994,-0.979275791391482,2027-03-31,57393,86.96000000000001,9624.0
COK8 Comdty,0.2600000000000051,0.3396472893533705,2028-03-31,9855,76.81,416.0
COM7 Comdty,-0.7000000000000028,-0.8110300081103033,2027-04-30,152585,85.61,20320.0
COM8 Comdty,0.0300000000000011,0.0392875851231025,2028-04-28,82113,76.39,4186.0
CON7 Comdty,-0.5499999999999972,-0.6474396703943462,2027-05-28,46102,84.4,2617.0
CON8 Comdty,0.2199999999999988,0.2906208718626141,2028-05-31,9095,75.92,172.0
COQ7 Comdty,-0.4399999999999977,-0.5256241787122181,2027-06-30,48972,83.27,2393.0
COQ8 Comdty,0.1999999999999886,0.2656395271616265,2028-06-30,6860,75.49,51.0
COU7 Comdty,-0.3900000000000005,-0.472269314604021,2027-07-30,66364,82.19,5269.0
COU8 Comdty,0.1699999999999875,0.2269692923898364,2028-07-31,14005,75.07000000000001,332.0
COV7 Comdty,-0.4099999999999966,-0.5026974006866068,2027-08-31,38543,81.15,1674.0
COV8 Comdty,0.1400000000000005,0.1878690284487393,2028-08-31,6806,74.66,7.0
COX6 Comdty,-1.7399999999999949,-1.63227016885553,2026-09-30,319357,104.86,125843.0
COX7 Comdty,-0.220000000000013,-0.2726822012890593,2027-09-30,42050,80.46000000000001,1180.0
COZ6 Comdty,-1.9200000000000017,-1.91578527240072,2026-10-30,557519,98.3,211640.0
COZ7 Comdty,-0.1899999999999977,-0.2378567851777638,2027-10-29,188197,79.69,14360.0
