contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last
JKLF7 Comdty,0.495000000000001,2.9455519190717108,2026-12-15,175,17.3
JKLF8 Comdty,0.3199999999999985,2.5942440210782203,2027-12-15,175,12.655
JKLG7 Comdty,0.6449999999999996,3.943748089269334,2027-01-15,175,17.0
JKLG8 Comdty,0.3049999999999997,2.48878008975928,2028-01-14,175,12.56
JKLH7 Comdty,0.5200000000000014,3.4494195688225626,2027-02-12,175,15.595
JKLH8 Comdty,0.3049999999999997,2.655637788419676,2028-02-15,175,11.79
JKLJ7 Comdty,0.5,3.745318352059925,2027-03-15,175,13.85
JKLJ8 Comdty,0.1699999999999999,1.8528610354223425,2028-03-15,175,9.345
JKLK6 Comdty,0.1350000000000015,0.7003891050583739,2026-04-15,0,19.41
JKLK7 Comdty,0.3500000000000014,2.801120448179283,2027-04-15,175,12.845
JKLM6 Comdty,0.2899999999999991,1.5591397849462318,2026-05-15,0,18.89
JKLM7 Comdty,0.3800000000000008,3.117309269893362,2027-05-14,175,12.57
JKLN6 Comdty,0.4849999999999994,2.6847495156379706,2026-06-15,0,18.55
JKLN7 Comdty,0.2750000000000003,2.237591537835642,2027-06-15,175,12.565
JKLQ6 Comdty,0.5600000000000023,3.202745210180168,2026-07-15,0,18.045
JKLQ7 Comdty,0.2799999999999993,2.253521126760558,2027-07-15,175,12.705
JKLU6 Comdty,0.5300000000000011,3.088578088578095,2026-08-14,0,17.69
JKLU7 Comdty,0.2150000000000016,1.738075990299124,2027-08-13,175,12.585
JKLV6 Comdty,0.5549999999999997,3.308494783904618,2026-09-15,0,17.33
JKLV7 Comdty,0.2750000000000003,2.246732026143793,2027-09-15,175,12.515
JKLX6 Comdty,0.5849999999999973,3.5166816952209032,2026-10-15,0,17.22
JKLX7 Comdty,0.2999999999999989,2.473206924979381,2027-10-15,175,12.43
JKLZ6 Comdty,0.5899999999999999,3.5150431933273745,2026-11-13,0,17.375
JKLZ7 Comdty,0.3249999999999993,2.6283865750101034,2027-11-15,175,12.69
