contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last
NGF27 Comdty,0.0540000000000002,1.3789581205311612,2026-12-29,178221,3.97
NGF28 Comdty,0.0230000000000005,0.4988072001735106,2027-12-29,39049,4.634
NGG27 Comdty,0.052,1.4549524342473432,2027-01-27,74709,3.626
NGG28 Comdty,0.0209999999999999,0.5020320344250516,2028-01-27,14424,4.204
NGH27 Comdty,0.0350000000000001,1.2064805239572611,2027-02-24,156436,2.936
NGH28 Comdty,0.0219999999999997,0.6428988895382758,2028-02-25,19684,3.444
NGJ27 Comdty,0.0249999999999999,0.9025270758122712,2027-03-29,126412,2.795
NGJ28 Comdty,0.0180000000000002,0.5676442762535553,2028-03-29,19377,3.189
NGK27 Comdty,0.0219999999999997,0.7899461400358992,2027-04-28,74370,2.807
NGK28 Comdty,0.0169999999999999,0.5379746835443008,2028-04-26,7189,3.177
NGM27 Comdty,0.02,0.6828269033799939,2027-05-26,31465,2.949
NGM28 Comdty,0.0190000000000001,0.5736714975845449,2028-05-26,4847,3.331
NGN27 Comdty,0.0190000000000001,0.6049028971665116,2027-06-28,36943,3.16
NGN28 Comdty,0.02,0.5691519635742748,2028-06-28,4595,3.5340000000000003
NGQ27 Comdty,0.0180000000000002,0.55987558320374,2027-07-28,33568,3.233
NGQ28 Comdty,0.02,0.5592841163310966,2028-07-27,3740,3.596
NGU27 Comdty,0.02,0.6250000000000006,2027-08-27,37670,3.22
NGU28 Comdty,0.0220000000000002,0.6197183098591618,2028-08-29,3836,3.572
NGV26 Comdty,0.052,1.7906336088154289,2026-09-28,326958,2.956
NGV27 Comdty,0.0190000000000001,0.578738958269879,2027-09-28,75563,3.302
NGX26 Comdty,0.056,1.845748187211604,2026-10-28,261984,3.09
NGX27 Comdty,0.0180000000000002,0.5077574047954934,2027-10-27,23174,3.563
NGZ26 Comdty,0.0590000000000001,1.6890924706556016,2026-11-25,170733,3.552
NGZ27 Comdty,0.0209999999999999,0.5040806529044625,2027-11-26,28008,4.187
