contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last
TZTF7 Comdty,2.2469899999999967,3.2636489616916737,2026-12-30,141060,71.096
TZTF8 Comdty,1.304000000000002,2.988084326306146,2027-12-30,43897,44.944
TZTG7 Comdty,2.152999999999992,3.174064955551284,2027-01-28,120348,69.984
TZTG8 Comdty,1.2989999999999997,3.051444679351655,2028-01-28,42307,43.869
TZTH7 Comdty,1.9579999999999984,3.0687731176728708,2027-02-25,111428,65.762
TZTH8 Comdty,0.8719999999999999,2.203466922727043,2028-02-28,44709,40.446
TZTJ7 Comdty,1.3400000000000034,2.580943392592314,2027-03-30,94065,53.259
TZTJ8 Comdty,0.6469999999999985,1.9255952380952333,2028-03-30,40674,34.247
TZTK7 Comdty,1.125,2.406571544698056,2027-04-29,62700,47.872
TZTK8 Comdty,0.5539999999999985,1.8049718176782927,2028-04-27,38255,31.247
TZTM7 Comdty,0.9739999999999966,2.139295833424842,2027-05-27,78635,46.503
TZTM8 Comdty,0.549000000000003,1.8173993644067896,2028-05-30,38190,30.757
TZTN7 Comdty,1.0130000000000052,2.2463189639879486,2027-06-29,59663,46.109
TZTN8 Comdty,0.490000000000002,1.621603732997988,2028-06-29,35917,30.707
TZTQ7 Comdty,0.982999999999997,2.188042558874587,2027-07-29,59370,45.909
TZTQ8 Comdty,0.4899999999999984,1.628881058440258,2028-07-28,35990,30.572
TZTU7 Comdty,0.9229999999999948,2.0588432111708297,2027-08-27,56951,45.754
TZTU8 Comdty,0.4849999999999994,1.6018760114938717,2028-08-30,35830,30.762
TZTV6 Comdty,2.408990000000003,3.450829627866092,2026-09-29,214309,72.218
TZTV7 Comdty,1.0900000000000034,2.448722845011577,2027-09-29,57185,45.603
TZTX6 Comdty,2.365009999999998,3.401570612855435,2026-10-29,197036,71.89201
TZTX7 Comdty,1.2019999999999982,2.7209344440420096,2027-10-28,60586,45.378
TZTZ6 Comdty,2.287009999999995,3.304784474661496,2026-11-27,176955,71.49001
TZTZ7 Comdty,1.2070000000000007,2.7297810747240834,2027-11-29,59437,45.423
