contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last
XAF7 Comdty,0.4000000000000057,0.2874595759971294,2027-01-29,1993,139.55
XAF8 Comdty,1.25,0.9600614439324118,2028-01-28,182,131.45
XAG7 Comdty,0.3500000000000227,0.2523431867339746,2027-02-26,1979,139.05
XAG8 Comdty,1.1999999999999886,0.930954228083777,2028-02-25,182,130.1
XAH7 Comdty,0.2999999999999829,0.217706821480394,2027-03-25,1979,138.1
XAH8 Comdty,0.8499999999999943,0.6648416112631946,2028-03-31,182,128.7
XAJ7 Comdty,0.25,0.1832844574780058,2027-04-30,1088,136.65
XAJ8 Comdty,0.2999999999999971,0.237247924080662,2028-04-28,98,126.75
XAK7 Comdty,0.4000000000000057,0.2959674435812103,2027-05-28,1094,135.55
XAK8 Comdty,0.0499999999999971,0.0398565165404521,2028-05-26,98,125.5
XAM7 Comdty,0.1999999999999886,0.1485332343111687,2027-06-25,1083,134.85
XAM8 Comdty,-0.1000000000000085,-0.0801924619085874,2028-06-30,98,124.6
XAN7 Comdty,0.1499999999999772,0.1114827201783554,2027-07-30,1017,134.7
XAN8 Comdty,-0.3499999999999943,-0.2816901408450658,2028-07-28,102,123.9
XAQ7 Comdty,0.1000000000000227,0.074515648286157,2027-08-27,1017,134.3
XAQ8 Comdty,-0.3999999999999915,-0.3231017770597669,2028-08-25,102,123.4
XAU6 Comdty,-0.3000000000000113,-0.215362526920324,2026-09-25,1427,139.0
XAU7 Comdty,0.25,0.1861504095309009,2027-09-24,1017,134.55
XAV6 Comdty,-0.0500000000000113,-0.0356379187455533,2026-10-30,2800,140.25
XAV7 Comdty,0.549999999999983,0.4099888184867558,2027-10-29,1052,134.7
XAX6 Comdty,-0.1999999999999886,-0.1423994304022703,2026-11-27,2852,140.25
XAX7 Comdty,0.5999999999999943,0.4494382022471867,2027-11-26,1052,134.1
XAZ6 Comdty,-0.0999999999999943,-0.0714285714285673,2026-12-24,2270,139.9
XAZ7 Comdty,0.5500000000000114,0.4155647903286825,2027-12-31,1052,132.9
