contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last,px_volume
XOF7 Comdty,2.25,1.8057784911717496,2027-01-29,72.0,126.85,
XOF8 Comdty,1.6999999999999886,1.4208106978687745,2028-01-28,,121.35,
XOG7 Comdty,1.7999999999999972,1.4675907052588644,2027-02-26,47.0,124.45,
XOG8 Comdty,1.7999999999999972,1.5215553677092115,2028-02-25,,120.1,
XOH7 Comdty,1.7000000000000028,1.391162029459904,2027-03-25,47.0,123.9,
XOH8 Comdty,1.7999999999999972,1.5410958904109566,2028-03-31,,118.6,
XOJ7 Comdty,1.75,1.4285714285714286,2027-04-30,,124.25,
XOJ8 Comdty,1.8500000000000083,1.607996523250768,2028-04-28,,116.9,
XOK7 Comdty,1.8999999999999917,1.5522875816993391,2027-05-28,,124.3,
XOK8 Comdty,1.7000000000000028,1.4938488576449938,2028-05-26,,115.5,
XOM7 Comdty,1.7999999999999972,1.4723926380368075,2027-06-25,,124.05,
XOM8 Comdty,1.5999999999999943,1.4165559982293,2028-06-30,,114.55,
XON7 Comdty,1.6500000000000057,1.3524590163934471,2027-07-30,,123.65,
XON8 Comdty,1.6499999999999917,1.473872264403744,2028-07-28,,113.6,
XOQ7 Comdty,1.5499999999999972,1.2699713232281828,2027-08-27,,123.6,
XOQ8 Comdty,1.6500000000000057,1.481814099685681,2028-08-25,,113.0,
XOU6 Comdty,1.8499999999999943,1.4723438121766768,2026-09-25,590.0,127.5,90.0
XOU7 Comdty,1.5,1.2295081967213115,2027-09-24,,123.5,
XOV6 Comdty,2.0999999999999943,1.6746411483253545,2026-10-30,481.0,127.5,97.0
XOV7 Comdty,1.4500000000000028,1.1890118901189035,2027-10-29,,123.4,
XOX6 Comdty,2.1999999999999886,1.7543859649122715,2026-11-27,371.0,127.6,22.0
XOX7 Comdty,1.5499999999999972,1.2767710049423369,2027-11-26,,122.95,
XOZ6 Comdty,2.1999999999999886,1.7543859649122715,2026-12-24,292.0,127.6,2.0
XOZ7 Comdty,1.6500000000000057,1.3681592039801045,2027-12-31,,122.25,
