contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last,px_volume
XWF7 Comdty,-0.4000000000000057,-0.2721088435374189,2027-01-29,928,146.6,57.0
XWF8 Comdty,1.8499999999999943,1.289198606271773,2028-01-28,165,145.35,1.0
XWG7 Comdty,1.5,1.0124873439082012,2027-02-26,944,149.65,52.0
XWG8 Comdty,1.8500000000000227,1.291899441340798,2028-02-25,162,145.05,1.0
XWH7 Comdty,1.5,1.0138560324433932,2027-03-25,911,149.45,52.0
XWH8 Comdty,1.8499999999999943,1.297335203366055,2028-03-31,162,144.45,1.0
XWJ7 Comdty,1.25,0.8512087163772558,2027-04-30,625,148.1,8.0
XWJ8 Comdty,1.8500000000000227,1.305575158786184,2028-04-28,162,143.55,1.0
XWK7 Comdty,1.0500000000000114,0.7186858316221844,2027-05-28,625,147.15,8.0
XWK8 Comdty,1.8499999999999943,1.311126860382703,2028-05-26,162,142.95,1.0
XWM7 Comdty,1.049999999999983,0.7209062821833044,2027-06-25,625,146.7,8.0
XWM8 Comdty,1.8499999999999943,1.3139204545454504,2028-06-30,162,142.65,1.0
XWN7 Comdty,1.5,1.0309278350515465,2027-07-30,536,147.0,2.0
XWN8 Comdty,1.8000000000000114,1.283880171184031,2028-07-28,162,142.0,1.0
XWQ7 Comdty,1.4499999999999886,0.9999999999999922,2027-08-27,536,146.45,2.0
XWQ8 Comdty,1.799999999999983,1.2866333095067783,2028-08-25,162,141.7,1.0
XWU6 Comdty,0.3000000000000113,0.2073255010366353,2026-09-25,1193,145.0,
XWU7 Comdty,1.9000000000000057,1.3157894736842144,2027-09-24,536,146.3,2.0
XWV6 Comdty,0.75,0.5226480836236934,2026-10-30,1262,144.25,146.0
XWV7 Comdty,1.6500000000000057,1.142263759086193,2027-10-29,534,146.1,1.0
XWX6 Comdty,0.5,0.3448275862068966,2026-11-27,966,145.5,112.0
XWX7 Comdty,1.700000000000017,1.1797362942401228,2027-11-26,534,145.8,1.0
XWZ6 Comdty,-1.8000000000000114,-1.217861975642768,2026-12-24,1181,146.0,51.0
XWZ7 Comdty,1.6999999999999886,1.1821974965229405,2027-12-31,535,145.5,1.0
