commodity,type,contract,chg_net_1d,chg_pct_1d,fut_last_trade_dt,open_int,px_last
API4 - FOB Richards Bay,Monthly,XO1 Comdty,0.25,0.2028397565922921,2026-09-25,524.0,123.5
API4 - FOB Richards Bay,Monthly,XO2 Comdty,0.0499999999999971,0.0407497962510164,2026-10-30,748.0,122.75
API4 - FOB Richards Bay,Monthly,XO3 Comdty,0.5,0.4078303425774878,2026-11-27,477.0,123.1
API4 - FOB Richards Bay,Monthly,XO4 Comdty,-0.7000000000000028,-0.5725971370143172,2026-12-24,302.0,121.55
API4 - FOB Richards Bay,Monthly,XO5 Comdty,0.3999999999999915,0.328137817883504,2027-01-29,105.0,122.3
API4 - FOB Richards Bay,Monthly,XO6 Comdty,0.8499999999999943,0.6984387838948187,2027-02-26,80.0,122.55
API4 - FOB Richards Bay,Monthly,XO7 Comdty,0.8000000000000114,0.6578947368421146,2027-03-25,80.0,122.4
API4 - FOB Richards Bay,Monthly,XO8 Comdty,0.2999999999999971,0.2470152326060083,2027-04-30,,121.75
API4 - FOB Richards Bay,Monthly,XO9 Comdty,0.2000000000000028,0.164880461665295,2027-05-28,,121.5
API4 - FOB Richards Bay,Monthly,XO10 Comdty,0.25,0.2062706270627062,2027-06-25,,121.45
API4 - FOB Richards Bay,Monthly,XO11 Comdty,0.0,0.0,2027-07-30,,121.35
API4 - FOB Richards Bay,Monthly,XO12 Comdty,0.0,0.0,2027-08-27,,121.25
API4 - FOB Richards Bay,Quarterly,XS1 Comdty,-0.0499999999999971,-0.0408096637283685,2026-10-30,,122.45
API4 - FOB Richards Bay,Quarterly,XS2 Comdty,0.6899999999999977,0.5668282264026926,2027-01-29,,122.4
API4 - FOB Richards Bay,Quarterly,XS3 Comdty,0.25,0.2060666007253544,2027-04-30,,121.55
API4 - FOB Richards Bay,Quarterly,XS4 Comdty,-0.0499999999999971,-0.0412439165223106,2027-07-30,,121.2
API4 - FOB Richards Bay,Quarterly,XS5 Comdty,-0.3599999999999994,-0.2991772625280474,2027-10-29,,119.95
API4 - FOB Richards Bay,Quarterly,XS6 Comdty,-0.75,-0.6286672254819783,2028-01-28,,118.55
API4 - FOB Richards Bay,Quarterly,XS7 Comdty,-0.8999999999999915,-0.7819287576020777,2028-04-28,,114.2
API4 - FOB Richards Bay,Quarterly,XS8 Comdty,-0.9500000000000028,-0.8435446634700787,2028-07-28,,111.65
API4 - FOB Richards Bay,Yearly,BV1 Comdty,0.1299999999999954,0.1073049938093235,2027-01-29,,121.3
API4 - FOB Richards Bay,Yearly,BV2 Comdty,-0.8800000000000097,-0.7656834594970936,2028-01-28,,114.05
API4 - FOB Richards Bay,Yearly,BV3 Comdty,-0.8900000000000006,-0.7744517925513406,2029-01-26,,114.05
API2 - CIF ARA,Monthly,XA1 Comdty,0.0,0.0,2026-09-25,1430.0,137.25
API2 - CIF ARA,Monthly,XA2 Comdty,-1.8499999999999943,-1.3553113553113512,2026-10-30,2510.0,134.65
API2 - CIF ARA,Monthly,XA3 Comdty,-1.8000000000000114,-1.313389273987604,2026-11-27,2946.0,135.25
API2 - CIF ARA,Monthly,XA4 Comdty,-1.4000000000000057,-1.0233918128655013,2026-12-24,2182.0,135.4
API2 - CIF ARA,Monthly,XA5 Comdty,-1.299999999999983,-0.950987564008766,2027-01-29,2316.0,135.4
API2 - CIF ARA,Monthly,XA6 Comdty,-1.1999999999999886,-0.87847730600292,2027-02-26,2332.0,135.4
API2 - CIF ARA,Monthly,XA7 Comdty,-1.1000000000000227,-0.8085262771040226,2027-03-25,2302.0,134.95
API2 - CIF ARA,Monthly,XA8 Comdty,-0.8499999999999943,-0.6298629121896957,2027-04-30,1132.0,134.1
API2 - CIF ARA,Monthly,XA9 Comdty,-0.75,-0.5603287261860291,2027-05-28,1128.0,133.1
API2 - CIF ARA,Monthly,XA10 Comdty,-0.8499999999999943,-0.6381381381381339,2027-06-25,1128.0,132.35
API2 - CIF ARA,Monthly,XA11 Comdty,-0.5,-0.3759398496240601,2027-07-30,1011.0,132.5
API2 - CIF ARA,Monthly,XA12 Comdty,-0.5,-0.376081233546446,2027-08-27,1011.0,132.45
API2 - CIF ARA,Quarterly,XE1 Comdty,-1.6800000000000068,-1.2282497441146416,2026-10-30,,135.1
API2 - CIF ARA,Quarterly,XE2 Comdty,-1.1999999999999886,-0.8794430194210251,2027-01-29,,135.25
API2 - CIF ARA,Quarterly,XE3 Comdty,-0.8199999999999932,-0.6119402985074576,2027-04-30,,133.18
API2 - CIF ARA,Quarterly,XE4 Comdty,-0.4300000000000068,-0.3233082706766969,2027-07-30,,132.57
API2 - CIF ARA,Quarterly,XE5 Comdty,-0.3000000000000113,-0.2268431001890445,2027-10-29,,131.95
API2 - CIF ARA,Quarterly,XE6 Comdty,-0.1799999999999784,-0.1395889879798204,2028-01-28,,128.77
API2 - CIF ARA,Quarterly,XE7 Comdty,-0.5999999999999943,-0.4827808175088464,2028-04-28,,123.68
API2 - CIF ARA,Quarterly,XE8 Comdty,-0.6800000000000068,-0.558613324570777,2028-07-28,,121.05
API2 - CIF ARA,Yearly,TM1 Comdty,-0.6899999999999977,-0.5151945045919493,2027-01-29,,133.25
API2 - CIF ARA,Yearly,TM2 Comdty,-0.539999999999992,-0.4348176181657074,2028-01-28,,123.65
API2 - CIF ARA,Yearly,TM3 Comdty,-0.8100000000000023,-0.6512824636166297,2029-01-26,,123.55
NEWC - FOB Newcastle,Monthly,XW1 Comdty,-0.700000000000017,-0.4814305364511809,2026-09-25,1198.0,144.70000000000002
NEWC - FOB Newcastle,Monthly,XW2 Comdty,-1.3000000000000114,-0.9027777777777856,2026-10-30,1257.0,142.70000000000002
NEWC - FOB Newcastle,Monthly,XW3 Comdty,-1.1999999999999886,-0.8207934336525231,2026-11-27,941.0,145.0
NEWC - FOB Newcastle,Monthly,XW4 Comdty,-0.8499999999999943,-0.5754908598510456,2026-12-24,1212.0,146.85
NEWC - FOB Newcastle,Monthly,XW5 Comdty,-1.0500000000000114,-0.7092198581560359,2027-01-29,871.0,147.0
NEWC - FOB Newcastle,Monthly,XW6 Comdty,-0.5999999999999943,-0.4033613445378113,2027-02-26,914.0,148.15
NEWC - FOB Newcastle,Monthly,XW7 Comdty,-0.700000000000017,-0.4709048099562846,2027-03-25,881.0,147.95000000000002
NEWC - FOB Newcastle,Monthly,XW8 Comdty,-0.75,-0.5081300813008129,2027-04-30,622.0,146.85
NEWC - FOB Newcastle,Monthly,XW9 Comdty,-0.75,-0.5107252298263534,2027-05-28,622.0,146.1
NEWC - FOB Newcastle,Monthly,XW10 Comdty,-0.75,-0.5122950819672131,2027-06-25,622.0,145.65
NEWC - FOB Newcastle,Monthly,XW11 Comdty,-0.5,-0.3424657534246575,2027-07-30,533.0,145.5
NEWC - FOB Newcastle,Monthly,XW12 Comdty,-0.4499999999999886,-0.3093846682708757,2027-08-27,533.0,145.0
NEWC - FOB Newcastle,Quarterly,FK1 Comdty,-1.1200000000000043,-0.7672809481400319,2026-10-30,,144.85
NEWC - FOB Newcastle,Quarterly,FK2 Comdty,-0.7800000000000011,-0.5253232758620697,2027-01-29,,147.7
NEWC - FOB Newcastle,Quarterly,FK3 Comdty,-0.75,-0.5103776794828173,2027-04-30,,146.2
NEWC - FOB Newcastle,Quarterly,FK4 Comdty,-0.25,-0.1721525960611486,2027-07-30,,144.97
NEWC - FOB Newcastle,Quarterly,FK5 Comdty,0.6899999999999977,0.4810709056682686,2027-10-29,,144.12
NEWC - FOB Newcastle,Quarterly,FK6 Comdty,0.7800000000000011,0.54806070826307,2028-01-28,,143.1
NEWC - FOB Newcastle,Quarterly,FK7 Comdty,0.6999999999999886,0.4982206405693869,2028-04-28,,141.2
NEWC - FOB Newcastle,Quarterly,FK8 Comdty,0.6999999999999886,0.5024043637407511,2028-07-28,,140.03
NEWC - FOB Newcastle,Yearly,YJ1 Comdty,-0.2700000000000102,-0.184906177236002,2027-01-29,,145.75
NEWC - FOB Newcastle,Yearly,YJ2 Comdty,0.7299999999999898,0.5195729537366476,2028-01-28,,141.25
NEWC - FOB Newcastle,Yearly,YJ3 Comdty,0.6099999999999852,0.4340710168647159,2029-01-26,,141.15
