contract,px_last
FSTUM1 Index,26.82902
FSTUM10 Index,17.89426
FSTUM11 Index,16.90952
FSTUM12 Index,17.34464
FSTUM13 Index,17.16536
FSTUM14 Index,17.34413
FSTUM15 Index,17.17276
FSTUM16 Index,16.96186
FSTUM17 Index,16.55359
FSTUM18 Index,15.07855
FSTUM19 Index,12.23418
FSTUM2 Index,26.75511
FSTUM20 Index,11.08381
FSTUM21 Index,10.8542
FSTUM22 Index,10.88465
FSTUM23 Index,10.81001
FSTUM24 Index,10.87047
FSTUM3 Index,26.73638
FSTUM4 Index,26.68466
FSTUM5 Index,26.42545
FSTUM6 Index,25.24598
FSTUM7 Index,20.4078
FSTUM8 Index,18.16729
FSTUM9 Index,17.75861
