date,USDZAR Curncy,XAU Curncy,XBTUSD Curncy
2021-03-21,,,57813.39
2021-03-22,14.7189,1739.03,54554.83
2021-03-23,14.8942,1727.07,54447.56
2021-03-24,14.98,1734.69,54050.57
2021-03-25,15.0184,1726.93,52001.01
2021-03-26,14.9844,1732.52,54002.49
2021-03-27,,,55887.89
2021-03-28,,,54845.71
2021-03-29,14.9144,1712.2,57234.35
2021-03-30,14.9175,1685.2,58673.67
2021-03-31,14.7759,1707.71,58960.2
2021-04-01,14.6225,1729.31,58859.78
2021-04-02,14.674,1728.87,58674.76
2021-04-03,,,58064.8
2021-04-04,,,58044.39
2021-04-05,14.5548,1728.27,58799.14
2021-04-06,14.5238,1743.27,58243.87
2021-04-07,14.5741,1737.72,56227.64
2021-04-08,14.5176,1755.84,57679.16
2021-04-09,14.6112,1743.88,58333.6
2021-04-10,,,58568.57
2021-04-11,,,59674.92
2021-04-12,14.576,1732.76,59977.92
2021-04-13,14.5128,1745.51,63193.56
2021-04-14,14.3923,1736.43,62384.19
2021-04-15,14.1677,1763.95,63410.29
2021-04-16,14.3101,1776.51,62005.42
2021-04-17,,,60870.13
2021-04-18,,,56291.89
2021-04-19,14.2222,1771.43,56210.89
2021-04-20,14.306,1778.75,56800.5
2021-04-21,14.2496,1793.79,54996.31
2021-04-22,14.3083,1783.94,51593.44
2021-04-23,14.2771,1777.2,50567.72
2021-04-24,,,50984.81
2021-04-25,,,48122.24
2021-04-26,14.2772,1781.38,53262.87
2021-04-27,14.3723,1776.6,55192.62
2021-04-28,14.2363,1781.68,54438.68
2021-04-29,14.3071,1772.18,52990.9
2021-04-30,14.495,1769.13,56814.44
2021-05-01,,,57725.77
2021-05-02,,,57042.24
2021-05-03,14.4027,1792.88,56811.66
2021-05-04,14.4671,1779.06,54770.39
2021-05-05,14.3696,1786.87,56895.44
2021-05-06,14.2103,1815.22,55955.47
2021-05-07,14.0574,1831.24,57684.39
2021-05-08,,,59004.37
2021-05-09,,,57931.38
2021-05-10,14.0421,1836.07,55308.81
2021-05-11,13.9995,1837.47,56911.32
2021-05-12,14.1313,1815.69,54482.81
2021-05-13,14.1163,1826.72,49312.81
2021-05-14,14.1301,1843.43,49193.56
2021-05-15,,,48242.61
2021-05-16,,,44098.92
2021-05-17,14.0993,1866.9,44816.08
2021-05-18,14.0003,1869.44,43294.36
2021-05-19,14.1045,1869.62,38336.11
2021-05-20,13.9747,1877.21,40078.49
2021-05-21,13.9619,1881.25,35251.36
2021-05-22,,,38084.88
2021-05-23,,,33700.55
2021-05-24,13.9245,1881.02,39024.16
2021-05-25,13.8689,1899.25,37646.5
2021-05-26,13.7606,1896.67,38774.5
2021-05-27,13.7736,1896.54,38495.29
2021-05-28,13.7649,1903.77,35218.36
2021-05-29,,,34269.86
2021-05-30,,,36081.09
2021-05-31,13.7373,1906.87,36690.89
2021-06-01,13.7558,1900.44,36322.98
2021-06-02,13.5194,1908.38,37745.13
2021-06-03,13.6391,1870.76,38705.27
2021-06-04,13.4316,1891.59,37056.79
2021-06-05,,,35854.31
2021-06-06,,,35978.7
2021-06-07,13.508,1899.21,34457.74
2021-06-08,13.5717,1892.89,33629.96
2021-06-09,13.7347,1888.57,36408.39
2021-06-10,13.6101,1898.51,36494.56
2021-06-11,13.7163,1877.53,37152.15
2021-06-12,,,36020.18
2021-06-13,,,39260.32
2021-06-14,13.7811,1866.18,39831.58
2021-06-15,13.7724,1859.02,39948.77
2021-06-16,14.0264,1811.47,38532.5
