tenor,ticker,px_bid,px_ask,settle_dt
Spot,ZAR BGN Curncy,16.2339,16.2391,2026-07-09
1 Year,ZAR12M BGN Curncy,4633.0,4723.0,2027-07-09
15 Months,ZAR15M BGN Curncy,5805.0,5988.0,2027-10-12
18 Months,ZAR18M BGN Curncy,6987.0,7154.0,2028-01-10
1 Month,ZAR1M BGN Curncy,436.0,444.0,2026-08-11
1 Week,ZAR1W BGN Curncy,94.0,98.0,2026-07-16
2 Months,ZAR2M BGN Curncy,813.0,829.0,2026-09-09
2 Weeks,ZAR2W BGN Curncy,187.0,192.0,2026-07-23
2 Years,ZAR2Y BGN Curncy,9348.0,9553.0,2028-07-10
3 Months,ZAR3M BGN Curncy,1199.0,1220.0,2026-10-09
3 Weeks,ZAR3W BGN Curncy,279.0,287.0,2026-07-30
3 Years,ZAR3Y BGN Curncy,14250.0,14717.0,2029-07-09
4 Months,ZAR4M BGN Curncy,1589.0,1623.0,2026-11-09
4 Years,ZAR4Y BGN Curncy,19749.0,20338.0,2030-07-09
5 Months,ZAR5M BGN Curncy,1972.0,2011.0,2026-12-09
5 Years,ZAR5Y BGN Curncy,25566.0,26566.0,2031-07-09
6 Months,ZAR6M BGN Curncy,2384.0,2434.0,2027-01-11
6 Years,ZAR6Y BGN Curncy,29745.0,30843.0,2032-07-09
9 Months,ZAR9M BGN Curncy,3494.0,3569.0,2027-04-09
Overnight,ZARON BGN Curncy,14.0,15.0,2026-07-08
Spot Next,ZARSN BGN Curncy,13.0,15.0,2026-07-10
Tom Next,ZARTN BGN Curncy,14.0,15.0,2026-07-09
