date,XAA Comdty,XOA Comdty,XWA Comdty
2021-06-09,80.6,83.75,85.25
2021-06-10,80.8,83.35,86.4
2021-06-11,80.95,83.35,86.7
2021-06-14,80.75,82.85,86.8
2021-06-15,78.95,82.2,86.35
2021-06-16,79.25,82.7,86.8
2021-06-17,79.65,82.75,87.35
2021-06-18,79.6,82.5,87.1
2021-06-21,79.3,82.05,86.65
2021-06-22,81.3,84.05,87.2
2021-06-23,80.45,82.8,88.2
2021-06-24,81.25,82.75,88.0
2021-06-25,81.05,84.1,88.15
2021-06-28,80.8,82.2,87.5
2021-06-29,80.65,81.75,87.55
2021-06-30,81.55,81.9,87.65
2021-07-01,79.8,81.8,87.55
2021-07-02,79.6,81.8,87.25
2021-07-05,79.65,83.05,87.65
2021-07-06,78.85,81.55,85.65
2021-07-07,79.0,81.15,85.55
2021-07-08,79.75,81.1,86.85
2021-07-09,81.15,81.95,88.15
2021-07-12,81.35,82.45,88.6
2021-07-13,81.9,84.65,90.8
2021-07-14,82.25,85.35,91.8
2021-07-15,81.85,86.4,93.8
2021-07-16,82.35,88.15,94.55
2021-07-19,83.1,88.6,95.25
2021-07-20,83.05,88.7,94.7
2021-07-21,82.45,88.7,95.1
2021-07-22,81.35,89.05,94.35
2021-07-23,81.9,88.85,93.7
2021-07-26,81.65,89.75,93.25
2021-07-27,80.75,90.1,93.6
2021-07-28,82.1,90.6,94.6
2021-07-29,81.85,90.25,94.9
2021-07-30,81.8,89.45,94.55
2021-08-02,81.85,89.05,94.05
2021-08-03,81.9,87.75,92.7
2021-08-04,81.75,88.7,93.55
2021-08-05,82.15,89.1,94.6
2021-08-06,83.65,88.25,96.1
2021-08-09,84.7,89.3,97.3
2021-08-10,84.5,88.0,97.2
2021-08-11,85.85,89.75,98.25
2021-08-12,86.15,91.3,99.4
2021-08-13,85.75,90.6,99.75
2021-08-16,87.15,91.9,100.7
2021-08-17,86.8,92.9,101.1
2021-08-18,87.9,93.35,102.5
2021-08-19,84.5,94.1,99.15
2021-08-20,82.85,94.0,94.65
2021-08-23,85.5,95.6,96.95
2021-08-24,86.0,97.05,98.45
2021-08-25,86.35,96.4,100.4
2021-08-26,86.25,95.55,99.5
2021-08-27,88.05,96.8,101.0
2021-08-30,90.2,98.95,103.0
2021-08-31,92.4,103.1,105.5
2021-09-01,92.85,104.25,107.55
2021-09-02,94.0,105.0,109.05
2021-09-03,94.45,105.25,110.6
2021-09-06,92.95,102.7,112.65
2021-09-07,93.4,101.85,112.15
2021-09-08,93.65,101.75,112.85
2021-09-09,92.2,100.75,113.15
2021-09-10,93.55,102.95,113.95
2021-09-13,95.1,103.95,117.0
2021-09-14,91.9,103.3,116.25
2021-09-15,91.45,104.4,115.15
2021-09-16,85.3,103.15,112.4
2021-09-17,87.0,104.0,114.0
2021-09-20,90.7,101.25,114.05
2021-09-21,87.95,99.3,113.1
2021-09-22,89.8,99.25,113.6
2021-09-23,92.45,102.9,120.7
2021-09-24,96.1,105.55,121.2
2021-09-27,99.5,105.95,126.1
2021-09-28,96.2,105.75,124.7
2021-09-29,96.85,105.95,124.9
2021-09-30,101.05,109.6,126.6
2021-10-01,106.25,113.55,128.95
2021-10-04,108.85,115.6,130.15
2021-10-05,109.0,117.7,131.25
2021-10-06,90.65,102.9,122.3
2021-10-07,93.6,101.15,115.05
2021-10-08,89.7,97.45,110.1
2021-10-11,93.75,100.7,117.7
2021-10-12,94.95,102.4,118.8
2021-10-13,95.35,103.8,117.65
2021-10-14,93.8,103.8,114.15
2021-10-15,92.75,99.6,111.75
2021-10-18,91.45,98.4,112.5
2021-10-19,91.5,98.6,111.45
2021-10-20,91.3,97.3,108.5
2021-10-21,89.2,99.65,106.5
2021-10-22,88.9,97.65,102.0
2021-10-25,93.25,92.75,107.6
2021-10-26,88.95,89.0,108.0
2021-10-27,87.0,85.0,103.4
2021-10-28,83.05,79.55,102.25
2021-10-29,81.85,81.35,97.25
2021-11-01,78.25,78.85,92.75
2021-11-02,80.75,71.65,94.8
2021-11-03,90.5,86.95,103.65
2021-11-04,87.5,88.0,101.8
2021-11-05,89.0,88.4,103.5
2021-11-08,93.4,92.4,109.45
2021-11-09,90.35,89.5,106.7
2021-11-10,87.5,86.65,102.65
2021-11-11,88.2,84.9,104.8
2021-11-12,86.6,83.55,104.65
2021-11-15,88.05,82.45,106.9
2021-11-16,92.05,90.15,110.35
2021-11-17,93.8,91.5,110.6
2021-11-18,95.4,94.85,113.25
2021-11-19,96.7,96.8,115.55
2021-11-22,98.95,98.85,119.35
2021-11-23,104.4,107.25,123.65
2021-11-24,108.45,112.35,127.2
2021-11-25,106.15,108.2,124.55
2021-11-26,96.6,98.25,122.15
2021-11-29,89.2,81.4,113.35
2021-11-30,82.3,73.65,108.55
2021-12-01,99.75,91.65,115.05
2021-12-02,98.25,90.15,113.75
2021-12-03,94.0,90.6,112.35
2021-12-06,95.85,93.05,112.05
2021-12-07,97.4,96.55,114.5
2021-12-08,99.85,97.9,118.8
2021-12-09,98.95,96.15,117.6
2021-12-10,100.7,98.7,120.7
2021-12-13,103.05,101.55,121.5
2021-12-14,104.5,102.45,122.65
2021-12-15,104.05,101.05,121.55
2021-12-16,104.75,102.55,123.3
2021-12-17,102.9,99.1,123.7
2021-12-20,102.35,96.1,126.2
2021-12-21,102.25,95.6,127.15
2021-12-22,103.15,95.9,126.05
2021-12-23,97.15,93.45,121.3
2021-12-24,96.95,93.55,121.4
2021-12-27,91.8,90.05,116.95
2021-12-28,91.6,90.9,116.65
2021-12-29,82.35,85.8,109.2
2021-12-30,81.85,81.05,109.35
2021-12-31,80.7,80.3,110.5
2022-01-03,83.05,80.4,110.95
2022-01-04,87.1,85.5,114.05
2022-01-05,93.5,91.85,112.45
2022-01-06,94.95,93.05,111.7
2022-01-07,91.35,89.75,109.05
2022-01-10,89.85,89.2,105.45
2022-01-11,88.75,85.65,102.6
2022-01-12,91.35,89.55,104.8
2022-01-13,96.1,92.65,111.65
2022-01-14,97.15,95.9,117.0
2022-01-17,100.2,100.0,122.35
2022-01-18,101.7,101.8,124.8
2022-01-19,101.1,100.95,126.65
2022-01-20,98.95,97.85,123.65
2022-01-21,101.55,99.65,126.1
2022-01-24,103.95,102.05,125.25
2022-01-25,103.75,101.9,127.75
2022-01-26,104.6,102.75,130.35
2022-01-27,103.35,101.5,129.2
2022-01-28,105.95,103.75,130.25
2022-01-31,102.5,100.8,128.15
2022-02-01,101.3,101.55,125.7
2022-02-02,101.7,100.65,126.65
