date,AJKMM1 Comdty,CLA Comdty,COA Comdty,NGA Comdty,TZTA Comdty
2021-09-27,,54.37,59.54,2.97,20.617
2021-09-28,,54.47,59.64,2.893,20.726
2021-09-29,,54.85,60.16,2.904,20.788
2021-09-30,,54.3,59.65,2.911,21.317
2021-10-01,,55.17,60.5,2.901,21.142
2021-10-04,,55.5,60.83,2.91,21.609
2021-10-05,,55.72,61.12,2.925,21.645
2021-10-06,,54.4,59.72,2.963,20.05
2021-10-07,,54.79,60.11,2.963,21.243
2021-10-08,,55.32,60.56,3.004,20.896
2021-10-11,,56.26,61.64,2.99,20.824
2021-10-12,,56.91,62.26,2.975,21.38
2021-10-13,,57.27,62.63,2.98,21.046
2021-10-14,,57.45,62.64,3.015,21.153
2021-10-15,,57.01,62.19,3.024,22.027
2021-10-18,,56.99,62.11,3.03,21.488
2021-10-19,,56.67,61.82,3.014,21.235
2021-10-20,,57.65,62.92,3.017,21.249
2021-10-21,,57.61,63.0,3.03,20.871
2021-10-22,,58.11,63.5,3.035,20.837
2021-10-25,,59.12,64.52,3.078,20.987
2021-10-26,,59.3,64.76,3.056,21.074
2021-10-27,,58.75,64.16,2.993,20.937
2021-10-28,,58.43,63.76,2.994,20.891
2021-10-29,,57.12,62.38,2.945,20.794
2021-11-01,,57.49,62.69,2.84,20.818
2021-11-02,,57.52,62.62,2.901,20.753
2021-11-03,,57.73,62.52,2.895,20.699
2021-11-04,,59.37,64.25,2.919,20.364
2021-11-05,,60.49,65.39,2.907,20.506
2021-11-08,,60.93,65.99,2.96,20.558
2021-11-09,,60.99,66.09,2.956,20.307
2021-11-10,,60.18,65.43,2.982,20.405
2021-11-11,,60.5,65.97,2.999,20.481
2021-11-12,,59.93,65.55,2.95,20.531
2021-11-15,,60.33,65.86,2.963,20.378
2021-11-16,,60.51,66.19,3.034,20.384
2021-11-17,,60.49,65.94,2.965,20.2
2021-11-18,,60.43,65.98,2.953,20.502
2021-11-19,,59.24,64.8,2.927,20.566
2021-11-22,,59.45,64.88,2.909,20.288
2021-11-23,,60.05,65.58,2.956,20.71
2021-11-24,,60.21,65.69,2.954,20.549
2021-11-25,,,66.68,,20.704
2021-11-26,,58.36,64.18,2.993,20.398
2021-11-29,,59.26,64.99,2.985,21.083
2021-11-30,,56.58,62.19,2.958,20.588
2021-12-01,,56.99,62.69,2.966,20.607
2021-12-02,,57.23,62.88,2.97,20.733
2021-12-03,,58.6,64.11,2.98,20.844
2021-12-06,,59.59,65.09,2.952,21.106
2021-12-07,,61.24,66.71,2.956,21.35
2021-12-08,,61.51,67.05,2.915,21.608
2021-12-09,,60.72,66.36,2.955,21.085
2021-12-10,,60.49,66.1,2.989,21.501
2021-12-13,,60.57,66.19,2.893,21.761
2021-12-14,,60.54,65.92,2.931,21.229
2021-12-15,,59.82,65.18,2.937,21.208
2021-12-16,,59.18,64.68,2.954,22.041
2021-12-17,,57.93,63.55,2.967,22.433
2021-12-20,,57.3,63.0,2.982,22.831
2021-12-21,,58.38,64.15,2.966,22.275
2021-12-22,,57.86,63.66,2.967,21.317
2021-12-23,,58.33,64.3,2.93,21.019
2021-12-24,,,63.37,,20.644
2021-12-27,,59.29,65.09,2.916,20.685
2021-12-28,,58.99,64.9,2.932,20.467
2021-12-29,,59.5,65.39,2.954,20.68
2021-12-30,,59.41,65.37,2.942,20.205
2021-12-31,,58.09,64.09,2.916,20.347
2022-01-03,,59.13,64.98,2.928,21.541
2022-01-04,,59.77,65.75,2.927,21.755
2022-01-05,,59.42,65.33,2.931,21.986
2022-01-06,,59.66,65.67,2.945,22.227
2022-01-07,,59.47,65.71,2.978,22.092
2022-01-10,,59.16,65.33,2.983,22.442
2022-01-11,,60.1,66.23,2.972,22.518
2022-01-12,,59.93,66.0,2.947,23.108
2022-01-13,,60.2,66.0,2.95,23.211
2022-01-14,,60.54,66.32,2.926,22.997
2022-01-17,,,66.55,,23.155
2022-01-18,,61.23,67.21,2.945,23.161
2022-01-19,,61.42,67.35,2.992,22.73
2022-01-20,,62.42,68.09,2.995,22.64
2022-01-21,,62.99,68.67,2.983,22.814
2022-01-24,,62.85,68.47,2.972,22.436
2022-01-25,,63.82,69.39,2.992,22.68
2022-01-26,,64.13,69.53,2.993,22.79
2022-01-27,,63.77,69.01,2.978,22.939
2022-01-28,,63.49,68.78,2.971,23.87
2022-01-31,,64.01,69.32,2.97,23.749
2022-02-01,,64.18,69.46,2.955,23.0
2022-02-02,,64.36,69.66,2.974,23.317
2022-02-03,,65.13,70.57,2.965,23.358
2022-02-04,,65.46,71.01,3.005,24.166
2022-02-07,,65.87,71.46,3.021,24.103
2022-02-08,,65.54,71.06,3.013,23.851
2022-02-09,,66.98,72.5,3.008,23.71
2022-02-10,,67.59,73.01,3.013,23.432
2022-02-11,,68.1,73.49,3.053,23.509
2022-02-14,,68.25,73.54,3.094,23.94
