date,DIEN10CF Index,EUCRBRDT Index,GDD01646 Index,GGC01005 Index,GGC01651 Index,GGD01642 Index,GIOS0004 Index,GIOS0092 Index,GIOS0094 Index,GIOS0097 Index,GIOS0098 Index,GIOS0266 Index,GIOS0299 Index,GIOS0686 Index,GIOS0878 Index,GIOS0880 Index,GIOS0973 Index,GIOS0977 Index,HEATAAAB Index,JET1NECC Index,JETFLAPL Index,JETIGCPR Index,JETKSPOT Index,LACRMAUS Index,MOGFM92S Index,MOGLCB85 Index,N6SH180S Index,N6SH380S Index,NAPHJPNC Index,RBOBG87P Index,USCRSRIN Index,USCRWTIC Index,USCRWTIM Index
2021-06-14,597.0,71.68,2.0839,2.088,2.0972,2.0886,685.0,621.5,599.25,72.04,72.09,388.0,73.82,552.75,576.0,558.25,72.31,73.05,591.5,614.0,1.9223,1.8619,78.502,67.22,78.9,2.4079,419.069,401.745,645.032,2.1276,70.37,70.88,71.03
2021-06-15,598.75,72.275,2.0783,2.0847,2.092,2.0884,688.0,621.75,599.25,71.755,71.84,390.0,73.51,547.25,578.25,564.0,72.81,73.52,593.25,615.5,1.9533,1.882,78.649,68.41,78.348,2.3942,420.147,403.644,635.424,2.1244,71.72,72.12,72.29
2021-06-16,608.5,73.38,2.0663,2.068,2.0771,2.0641,688.25,632.0,607.0,72.74,72.79,396.75,74.16,554.25,577.75,563.0,74.09,74.8,602.75,623.25,1.9332,1.8926,79.407,68.55,79.208,2.3709,428.135,411.507,641.372,2.109,71.73,72.15,72.3
2021-06-17,594.5,72.005,2.0366,2.0502,2.071,2.0451,684.75,621.5,595.75,72.31,72.35,391.5,73.9,557.5,583.0,568.5,72.65,73.42,588.5,610.25,1.8957,1.8574,78.135,67.37,78.969,2.4105,428.763,411.702,638.169,2.0832,70.49,71.04,71.14
2021-06-18,596.0,72.145,2.0606,2.0852,2.1042,2.0827,675.0,626.5,598.0,70.95,70.96,391.75,72.46,562.75,586.75,572.25,72.98,73.67,590.5,611.5,1.9114,1.863,78.257,67.87,77.924,2.4879,417.717,400.427,630.849,2.1209,70.57,71.64,71.58
2021-06-21,598.5,73.08,2.0968,2.118,2.1348,2.1144,687.25,629.5,601.25,71.75,71.91,394.0,73.25,572.5,600.5,581.0,73.79,74.08,593.5,615.75,1.946,1.8867,78.673,69.53,79.09,2.478,421.325,404.248,638.169,2.1455,72.39,73.66,73.3
2021-06-22,603.5,73.87,2.1226,2.1497,2.1675,2.1507,698.0,632.5,607.0,72.5,72.66,394.75,74.0,587.0,598.0,570.75,74.7,75.22,598.0,621.0,1.9993,1.8986,79.187,69.11,79.58,2.5199,426.42,411.03,642.973,2.1727,71.23,73.06,72.65
2021-06-23,610.25,74.655,2.1293,2.1979,2.2138,2.1979,707.5,649.75,613.25,73.4,73.59,400.75,74.89,596.5,613.0,591.0,75.5,75.96,604.25,627.75,2.0092,1.907,79.847,69.36,80.83,2.5197,429.261,413.913,655.784,2.2201,71.1,73.28,73.62
2021-06-24,606.75,74.875,2.1399,2.186,2.2271,2.2146,710.25,649.0,610.5,73.7,73.79,402.25,75.16,602.0,621.75,595.75,75.64,75.93,600.75,623.25,2.0093,1.9125,79.407,69.63,81.56,2.5285,429.035,414.801,657.843,2.2317,71.96,73.45,73.81
2021-06-25,609.75,75.37,2.1217,2.1831,2.1978,2.1967,715.5,651.75,612.25,73.45,73.45,407.75,74.92,603.5,625.25,603.25,76.11,76.61,603.75,626.5,1.9894,1.9161,79.725,70.32,81.87,2.5296,431.555,416.768,661.961,2.2147,72.19,74.25,74.6
2021-06-28,603.75,74.48,2.0902,2.1411,2.1549,2.1492,712.5,641.75,605.75,73.85,73.94,404.0,75.32,600.0,617.25,600.25,75.08,75.77,597.0,619.0,1.9782,1.8856,78.991,69.01,80.89,2.4918,435.621,419.295,660.36,2.1661,71.13,72.91,72.66
2021-06-29,604.25,74.61,2.095,2.1633,2.1833,2.1716,710.5,646.0,607.25,72.81,72.84,402.75,74.3,603.5,623.0,608.5,75.37,75.93,598.0,619.75,1.9981,1.8796,79.065,69.16,80.19,2.4864,424.399,408.319,654.412,2.1897,71.03,72.98,72.84
