category,ticker,name
Crude,EUCRBRDT Index,Dated Brent
Crude,GIOS0973 Index,Forties NWE
Crude,GIOS0977 Index,Ekofisk NWE
Crude,USCRWTIM Index,WTI Midland
Crude,USCRWTIC Index,WTI Cushing
Crude,USCRSRIN Index,US Sour (GCSI)
Crude,LACRMAUS Index,Maya USGC
Crude,GIOS0299 Index,ESPO
Crude,GIOS0097 Index,Dubai FOB
Crude,GIOS0098 Index,Oman FOB
Fuel Oil,N6SH380S Index,SG 380 CST
Fuel Oil,N6SH180S Index,SG 180 CST 3.5%
Fuel Oil,GIOS0266 Index,NWE 380 3.5% Barges
Gasoil,HEATAAAB Index,NWE Gasoil CIF
Gasoil,DIEN10CF Index,NWE ULSD CIF
Gasoil,GIOS0094 Index,MED ULSD CIF
Gasoil,GDD01646 Index,Magel ULSD
Jet Fuel,JETKSPOT Index,SG FOB
Jet Fuel,JET1NECC Index,NWE CIF
Jet Fuel,JETFLAPL Index,US LA
Jet Fuel,JETIGCPR Index,US 54 Pas
Gasoline,MOGFM92S Index,SG 92 RON
Gasoline,GIOS0004 Index,NWE EBOB
Gasoline,RBOBG87P Index,US RBOB Pas
Gasoline,MOGLCB85 Index,LA CARBOB
Gasoline,GGD01642 Index,US Magell. V
Gasoline,GGC01651 Index,US CBOB Chi
Gasoline,GGC01005 Index,US 87 Pas
Naphtha,NAPHJPNC Index,Japan CFR
Naphtha,GIOS0092 Index,NWE CIF
LPG,GIOS0878 Index,ME Propane
LPG,GIOS0880 Index,ME Butane
LPG,GIOS0686 Index,NWE Propane
