date,CO01C015 Index,CO03C001 Index,CO03C005 Index,CO03C008 Index,CO24C069 Index,NACI0004 Index,NACI00AD Index,NACI00B4 Index,NACI0137 Index,NACI019C Index
2021-03-24,50.48,98.79,67.69,83.4,68.14,69.5,84.05,83.4,84.5,94.0
2021-03-25,50.48,100.63,67.69,83.4,68.14,71.05,84.35,83.7,84.8,95.0
2021-03-26,49.07,99.56,72.39,87.65,70.93,71.6,84.45,83.8,85.05,95.0
2021-03-29,49.07,95.82,72.39,87.65,70.93,70.75,84.4,83.75,85.7,95.5
2021-03-30,49.07,97.17,72.39,87.65,70.93,70.6,83.95,83.3,87.0,95.0
2021-03-31,49.07,96.49,72.39,87.65,70.93,72.4,82.25,81.6,86.25,94.5
2021-04-01,50.24,96.9,67.32,82.07,68.86,71.35,80.55,79.9,85.4,94.5
2021-04-05,,,,,,,79.85,79.2,85.8,
2021-04-06,50.24,96.91,67.32,82.07,68.86,69.0,79.35,78.7,86.05,95.0
2021-04-07,50.24,97.91,67.32,82.07,68.86,69.45,78.95,78.3,86.0,96.0
2021-04-08,50.24,94.71,67.32,82.07,68.86,66.8,77.95,77.3,86.5,96.0
2021-04-09,49.82,94.28,67.88,82.89,67.42,65.9,78.2,77.55,86.55,96.0
2021-04-12,49.82,90.5,67.88,82.89,67.42,65.55,77.7,77.05,86.55,96.0
2021-04-13,49.82,90.2,67.88,82.89,67.42,64.85,77.65,77.0,86.7,96.0
2021-04-14,49.82,88.86,67.88,82.89,67.42,65.1,77.55,76.9,88.6,95.0
2021-04-15,49.82,90.3,67.88,82.89,67.42,65.75,79.75,79.1,88.6,95.0
2021-04-16,48.63,89.75,65.73,82.91,69.84,67.85,80.75,80.1,91.2,95.0
2021-04-19,48.63,90.56,65.73,82.91,69.84,66.25,82.1,81.45,91.2,95.0
2021-04-20,48.63,91.69,65.73,82.91,69.84,64.85,82.2,81.55,93.0,95.0
2021-04-21,48.63,90.22,65.73,82.91,69.84,64.5,83.65,83.0,96.85,95.0
2021-04-22,48.63,90.32,65.73,82.91,69.84,64.55,83.85,83.2,99.3,97.0
2021-04-23,48.78,90.8,65.6,81.43,72.93,63.55,84.1,83.45,99.6,97.0
2021-04-26,48.78,89.04,65.6,81.43,72.93,62.1,84.1,83.45,99.6,98.0
2021-04-27,48.78,90.09,65.6,81.43,72.93,62.8,83.95,83.3,99.9,98.0
2021-04-28,48.78,92.68,65.6,81.43,72.93,66.0,83.9,83.25,100.8,97.85
2021-04-29,48.78,95.5,65.6,81.43,72.93,67.85,83.0,82.35,100.65,98.0
2021-04-30,47.25,98.37,66.38,81.81,74.73,69.45,82.6,81.95,101.55,97.0
2021-05-03,,,,,,,82.7,82.05,101.6,
2021-05-04,47.25,98.62,66.38,81.81,74.73,71.05,82.8,82.15,101.8,97.0
2021-05-05,47.25,99.58,66.38,81.81,74.73,72.4,83.25,82.6,102.0,97.15
2021-05-06,47.25,102.2,66.38,81.81,74.73,69.65,85.25,84.6,102.6,97.5
