series,label,ticker,chg_net_1d,chg_pct_1d,px_last
RB1 Swaps,Current Month,CO03C001 Index,-1.190000000000012,-0.9811196306373253,120.1
RB1 Swaps,Month 1,CO01C001 Index,-0.9499999999999886,-0.7733007733007641,121.9
RB1 Swaps,Quarter 1,CO01C002 Index,-0.75,-0.6114961271911944,121.9
RB1 Swaps,Quarter 2,CO01C003 Index,-0.9000000000000057,-0.733496332518342,121.8
RB1 Swaps,Quarter 3,CO01C004 Index,-0.8999999999999915,-0.7404360345536746,120.65
RB1 Swaps,Quarter 4,CO01C005 Index,-1.0,-0.823045267489712,120.5
RB1 Swaps,Quarter 5,CO01C013 Index,-1.0,-0.8247422680412371,120.25
RB1 Swaps,Year 1,CO01C006 Index,-0.9500000000000028,-0.7802874743326512,120.8
RB1 Swaps,Year 2,CO01C007 Index,-0.8999999999999915,-0.780234070221059,114.45
RB1 Swaps,Year 3,CO01C008 Index,-0.8499999999999943,-0.7420340462680003,113.7
ARA CIF Swaps,Current Month,CO24C002 Index,-3.990000000000009,-2.887537993920979,134.19
ARA CIF Swaps,Month 1,CO22C001 Index,-2.25,-1.625722543352601,136.15
ARA CIF Swaps,Quarter 1,CO22C002 Index,-2.049999999999983,-1.4806789454676657,136.4
ARA CIF Swaps,Quarter 2,CO22C003 Index,-1.4499999999999886,-1.0530137981118293,136.25
ARA CIF Swaps,Quarter 3,CO22C004 Index,-1.3999999999999773,-1.0374212671359595,133.55
ARA CIF Swaps,Quarter 4,CO22C005 Index,-1.5,-1.1189854531891084,132.55
ARA CIF Swaps,Quarter 5,CO22C017 Index,-1.25,-0.937734433608402,132.05
ARA CIF Swaps,Year 1,CO22C006 Index,-1.4000000000000057,-1.0370370370370412,133.6
ARA CIF Swaps,Year 2,CO22C007 Index,-1.2999999999999972,-1.0391686650679435,123.8
ARA CIF Swaps,Year 3,CO22C008 Index,-1.3499999999999943,-1.0817307692307647,123.45
